case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_12727,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,104.247525,3.477948,39940.961288,8212.81533,GROWTH,4197.408447,109.0
CASE_12728,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,102.307692,2.607133,38596.469208,8041.784637,GROWTH,2385.018468,109.0
CASE_12731,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,67.597426,2.837172,18667.30349,4084.565435,GROWTH,2494.746314,79.0
CASE_12734,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,3,1,0,17.162953,-0.844226,14059.036032,4381.659275,BREAKDOWN,941.100575,17.210591
CASE_12737,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,72.200763,5.942811,9271.210277,3141.737268,GROWTH,3195.045379,79.0
CASE_12742,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,17.034647,-0.314306,14038.223059,4448.37211,BREAKDOWN,1035.878106,17.708845
CASE_12743,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,112.970874,4.561631,27188.278467,6768.299501,GROWTH,2356.032792,116.0
CASE_12744,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,76.176471,3.927353,7303.096634,2309.161537,GROWTH,863.818801,79.0
CASE_12746,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,3,0,16.508202,-1.412096,16005.3405,5150.924663,BREAKDOWN,4880.959776,10.152669
CASE_12750,RECOVERED_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,94.786408,6.757282,6463.07248,4508.652816,GROWTH,4806.111126,109.0
CASE_12753,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,13.007549,-3.709583,10413.649607,3996.574734,BREAKDOWN,821.663762,17.457249
CASE_12768,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,65.076336,4.854962,7882.072922,2996.959097,GROWTH,2402.092572,79.0
CASE_12794,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,14.064255,-1.982602,11246.633612,5676.687854,BREAKDOWN,5504.043231,14.791269
CASE_12800,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,95.092019,1.569374,17180.171317,7308.406071,GROWTH,6925.06399,109.0
CASE_12801,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,18.778701,-1.088809,9577.844736,5474.364601,BREAKDOWN,5463.34809,18.397444
CASE_12809,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,16.612421,-1.883476,12934.115749,5417.002638,BREAKDOWN,3462.845881,15.293677
CASE_12814,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,3,0,17.088,-1.121961,14480.391033,3731.952758,BREAKDOWN,4345.319779,15.488921
